name,requirements,responsibilities,experience,employment,salary_from,salary_to,currency,gross
Data инженер,"Опыт построения dwh. - Построение логических и/или физических моделей данных. - Опыт построения таблиц с версионированием данных (бизнес/техническая история , ескд...","Проектирование алгоритмов загрузки (инит/архив, инкремент, выделение дельты изменений). - разработка java дистрибутива etl процесса. - Работа с БД с использованием Spark...",От 3 до 6 лет,Полная занятость,,,,
Junior Data Engineer в Сеть Продаж,"Уверенное владение SQL (аналитические функции, подзапросы, хранимые процедуры/функции, оптимизация производительности). Опыт работы с реляционными базами данных (PostgreSQL). ","Анализ, загрузка, очистка и трансформация больших объемов данных из различных автоматизированных систем банка (анализ структуры, качества, полноты и применимости данных...",От 1 года до 3 лет,Полная занятость,,,,
Middle+ Data Engineer (Платформенная команда),"Кодит на Python: основные типы и структуры данных, понимание концепций работы async кода и его отличий от классической модели, OOP...","Помогать бизнесу, аналитикам и ds решать их задачи при помощи данных. Проводить исследования с целью оптимизации работы с данными. ",От 3 до 6 лет,Полная занятость,,,,
Архитектор DWH,"Опыт проектирования архитектуры DWH. Знание основных подходов к построению DWH: Кимбалл, Инмон, Data Vault, Anchor. Опыт работы с колоночными БД...",Разработка архитектуры хранилищ данных (ODS/DDS/Datamart). Проектирование процессов доставки данных из систем источников в хранилище (ETL/ELT). ,Более 6 лет,Полная занятость,,,,
Архитектор DWH,"Высшее техническое образование. Базовые знания архитектуры, принципов функционирования и основных особенностей программных компонентов, доменов и протоколов (Rhel, Astra, Windows, SSL...",Наша команда развивает Единое хранилище данных по всем процессам Центрального банка Российской Федерации. В нем консолидируется почти вся информация о...,Более 6 лет,Полная занятость,,,,
Senior Data Engineer,Опыт работы от 3 лет в роли <highlighttext>Data</highlighttext> <highlighttext>Engineer</highlighttext>. Глубокое знание SQL и понимание методик оптимизации запросов. Уверенное владение Python. ,"Погружение в текущую инфраструктуру данных: Изучение существующего хранилища данных, структуры и настройки (ClickHouse, MySQL), пайплайнов данных и инструментов (Airflow, Superset...",От 3 до 6 лет,Полная занятость,,,,
Разработчик баз данных DBA,Опыт работы с PostgreSQL от 3 лет. Понимание принципов работы реляционных СУБД. Навыки оптимизации запросов и использования индексов. ,Администрирование и поддержка баз данных PostgreSQL. Разработка и реализация стратегий резервного копирования и восстановления данных. Мониторинг состояния баз данных и...,От 3 до 6 лет,Полная занятость,,,,
Архитектор DWH (DWH Architect),"Опыт проектирования хранилищ данных (от 2-х лет). Опыт работы с ArenaData или GreenPlum. Глубокие знания PostgreSQL, навыки оптимизации баз...",Участие в проектах по созданию и развитию хранилищ данных в роли Архитектора и лидера команды разработки. Проведение встреч с заказчиком...,От 3 до 6 лет,Полная занятость,,,,
Team Lead BI/ SQL (небольшой команды разработчиков баз данных MS SQL),"Опыт написания сложных SQL запросов. Понимание ETL/ELT процессов, опыт разработки потоков данных, интеграций. Опыт разработки аналитических инструментов: SSAS, SSRS...",Управление небольшой командой BI разработки до 5 сотрудников (в основном джуны). Разработка хранилищ данных и разработка отчетности на базе MSSQL. ,От 1 года до 3 лет,Полная занятость,,,,
Infrastructure data engineer,Опыт работы от 2-х лет в области построения платформ данных. Релевантный опыт развертывания и поддержки компонентов платформы данны размером...,"Участие в проектировании архитектуры платформы (объем 3PB+, прирост 1-2 PB/year). Развертывание компонентов платформы. Настройка мониторинга и алертов. ",От 3 до 6 лет,Полная занятость,,,,
Data Engineer (Middle+),"Сейчас вакансия открыта в команде Geeksoft — IT-сердце нашей группы, где рождаются продукты, решения и новые возможности. Что будешь делать...",Разработка и оптимизация ETL-процессов и пайплайнов. Проектирование и развитие баз данных и хранилищ (DWH). Интеграция данных из различных источников...,От 3 до 6 лет,Полная занятость,500000.0,800000.0,KZT,False
